Store Name,Store Address,Store Cross Street or Land Mark
Beverly Hills Farmers Market,"9300 Civic Center Dr. Beverly Hills, 90210",NA
Canoga Park Certified Farmers' Market,"7248 Owensmouth Ave. Canoga Park, CA 91303",NA
Certified Growing Experience Farmers Market 1,"750 E Via Carmelitos. Long Beach, CA 90805",NA
City Hall CFM,"200 North Main Street. Los Angeles, CA 90012",NA
CSULB CFM,"1212 N Bellflower Blvd.Long Beach, CA 90815",NA
HARBOR AREA CFM,"500 The Promenade North. Long Beach, CA 90802",NA
Historic Los Angeles Farmers' Market,"6333 Fifth Street Between Spring Street and Broadway. Los Angeles, CA 90013",NA
Huntington Park Farmers Market,"3401 E Florence Ave. Huntington Park, CA 90255",NA
Kaiser Permanente Baldwin Park CFM,"1011 Baldwin Park Blvd. Baldwin Park, CA 91706",NA
Kaiser Permanente Downey Farmers Market,"9353 E Imperial Hwy. Downey, CA 90242",NA
Kaiser South Bay,"25825 S Vermont Ave. Harbor City, CA90710",NA
Long Beach Downtown CFM,"641 Pine Ave. Long Beach, CA 90802",NA
Marina Del Rey Farmers' Market,"Lot 10 Parking, Mother's Beach. Marina del Rey, CA 90292",NA
Monterey Park Certified Farmers' Market,"318 S Ramona Ave. Monterey Park, CA 91754",NA
Newbury Park Certified Farmer's Market,"2331 Borchard Rd. Newbury Park, CA 90020",NA
Old L.A. Certified Farmers Market,"Marmion Way. Los Angeles, CA 90042",NA
Old Pasadena Farmers' Market,"E Holly Street Btw Raymond & Fair Oaks. Pasadena, CA 91105",NA
Santa Fe Springs CFM,"11740 Telegraph Rd. Santa Fe Springs, CA 90670",NA
SANTA MONICA CERTIFIED FRMRS MKT,"Arizona Ave & 2nd St. Santa Monica, CA 90401",NA
Santa Monica Farmers Market - Sat,"Arizona Ave. Santa Monica, CA 90401",NA
Silver Lake CFM,"1500 Block Of Griffith Park Blvd . Los Angeles, CA 90026",and 1500 Block of Edgecliff Dr
Southeast Long Beach Farmers' Market,"6530 Marina Dr. Long Beach, CA 90803",NA
Studio City Farmers Market,"Ventura Place. Studio City, CA 91604",NA
The Greener Good Farmers Markets,"2125 Santa Fe Ave. Long Beach, CA 90810",NA
Uptown Long Beach Farmers Market,"4600 Atlantic Ave. Long Beach, CA 90807",NA
Downtown Glendale Market,"209 N Louise St. Glendale , CA 91206
(40.909347, -89.51199)",NA
Eagle Rock Certified Farmers Market,"2035 Colorado Blvd. Los Angeles, CA 90041
(35.097943, -114.639213)",City Hall
Santa Monica Farmers Market - Pico,"2200 Virginia Ave. Santa Monica, CA 90404
(37.926616, -122.34839)",NA
PASADENA CERTIFIED FARMERS MARKET,"2925 Sierra Madre Blvd. PASADENA, CA 91107
(34.161596, -118.091308)",across from Pasadena HS
Advocates for Healthy Living Inc,"142 E Bonita Ave. San Dimas, CA 91773
(34.096244, -117.747427)",NA
La Cienega CFM at Kaiser WLA,"6041 Cadillac Ave. Los Angeles, CA 90034
(34.037627, -118.374908)",NA
Wellington Square Farmers Market,"4394 W Washington Blvd. Los Angeles, CA 90016
(34.03985, -118.335007)",NA
Echo Park Farmers' Market,"1220 Logan St. Los Angeles, CA 90026
(34.124806, -93.061936)",NA
Acw/ Charles Drew University Farmers Market CDU 2,"1147 S Alvarado St. Los Angeles, CA 90006
(34.048995, -118.281583)",NA
DTLA Pershing Square Wednesday CFM,"532 S Olive St. Los Angeles, CA 90013
(44.844056, -93.787707)",NA
Sustainable Economic Enterprises-Hollywood FM,"1600 Ivar Ave. Hollywood, CA 90028
(34.099784, -118.328199)",NA
Gardena Farmer's Market,"13000 Van Ness Ave. Gardena, CA 90249
(33.914375, -118.317807)",NA
ADAMS/VERMONT CERT FARMERS MARKET,"1432 W Adams Blvd. Los Angeles, CA 90007
(34.032749, -118.292749)",NA
Central Avenue Farmers' Market,"4301 S Central Ave. Los Angeles, CA 90011
(37.576118, -120.956959)",NA
Santa Clarita Certified Farmers' Market,"26455 Rockwell Canyon Rd. Santa Clarita, CA 91355
(34.407176, -118.567511)","College Of The Canyons, Parking Lot 8"
Kaiser Permanente Panorama City Farmers' Mkt,"13652 Cantara St. Panorama City, CA 91402
(34.219847, -118.430299)",NA
Bellflower Certified Farmers Market N/A,"16614 Clark Ave. Bellflower, 90706
(45.020896, -90.65921)",NA
Lancaster CFM,"758 W Lancaster Blvd. Lancaster, CA 93534
(34.697573, -118.143654)",NA
Watts Healthy Farmers' Market,"1335 E 103rd St. Los Angeles, CA 90002
(33.94327, -118.251396)",NA
Model Neighborhood Programs Farmers Market,"1801 S La Cienga Blvd. Los Angeles, CA 90035
(34.044521, -118.376811)",NA
Westchester Farmers' Market,"7000 W Manchester Ave. Los Angeles, CA 90045
(33.959749, -118.413619)",NA
Los Angeles Medical Center Farmers' Market,"4800 Hollywood Blvd. Los Angeles, CA 90027
(26.010387, -80.191978)",NA
Altadena Farmers' Market,"3330 Lincoln Ave. Alhambra, CA 91001
(33.831886, -118.006795)",L A County Loma Alta Park
East Hollywood Farmer's Market,"5448 Hollywood Blvd. Los Angeles, CA 90027
(40.400497, -79.589707)",NA
South Gate Farmers Market,"4855 Tweedy Blvd. South Gate, CA 90280
(33.942021, -118.185699)",NA
Blue Line Farmers' Market,"101 E Palmer St. Compton, CA
(37.547716, -94.704834)",NA
Sylmar Farmers Market At Mission College,"13356 Eldridge Ave. Sylmar, CA 91342
(34.314033, -118.419751)",NA
Yamashiro CFM,"1999 N Sycamore Ave. Los Angeles, CA 90068
(34.106308, -118.341765)",NA
Del Rey Certified Farmer's Market,"4610 Alla Rd. Marina del Rey, CA 90292
(33.985817, -118.431754)",NA
Inglewood Certified Farmers' Market,"244 S Market St. Inglewood, CA 90301
(33.960794, -118.3519)",btwn Manchester Blvd & Nutwood St
CITY OF ALHAMBRA FARMERS MARKET,"100 S 2nd St. Alhambra, CA 91801
(38.08328, -85.66219)",NA
South Pasadena Farmers' Market,"913 Meridian Ave. South Pasadena, CA 91030
(37.822821, -97.372005)",NA
Warner Brothers CFM,"4000 Warner Blvd. Burbank, CA 91522
(34.149294, -118.342699)",NA
One Generation Encino CFM,"17400 Victory Blvd. Van Nuys, CA 91406
(34.186625, -118.511983)",NA
Atwater Village Farmers' Market,"3250 Glendale Blvd. Los Angeles, CA 90039
(34.11834, -118.260312)",NA
Los Feliz Village Certified Farmer's Market,"1825 N Vermont Ave. Los Angeles, CA 90027
(34.104496, -118.29178)",NA
Kaiser Permanente Downey Farmers' Market,"9333 Imperial Hwy. Downey, CA 90242
(41.708633, -92.924304)",NA
Mar Vista Farmers' Market,"3826 Grand View Blvd. Los Angeles, CA 90066
(34.004331, -118.43077)",NA
Figueroa & 7th CFM,"735 S. Figueroa St. Los Angeles, CA 90017
(34.049003, -118.260213)",NA
Pomona Valley Certified Farmers' Market,"701 N Garey Ave. Pomona, CA 91767
(34.064556, -117.750404)",NA
VELA Farmers Market,"4620 E 3rd St. Los Angeles, CA 90022
(34.759871, -92.212524)",NA
Crenshaw Farmers' Market,"3650 W. Martin Luther King Blvd. Los Angeles, CA 90008
(36.049454, -94.213006)",NA
Norwalk Certified Farmers Market,"11700 Alondra Blvd. Norwalk, CA90650
(33.88756, -118.084641)",NA
Lawndale Chamber Of Commerce Farmers Market,"14717 Burin Ave. Lawndale, CA 90260
(33.897836, -118.353788)",NA
Claremont Farmers & Artisan's Market,"203 Yale Ave. Claremont, CA 91711
(34.095778, -117.717902)",NA
Motor Ave Farmers Market,"10426 National Blvd. Los Angeles, CA 90034
(34.028661, -118.411794)",NA
Whittier Tuesday Evening CFM,"12910 Bailey St. Whittier, CA 90601
(33.980894, -118.038538)",NA
Glassell Park Farmers' Market,"3150 N San Fernando Rd. Los Angeles, CA 90065
(34.11608, -118.247043)",NA
Burbank Farmers Market,"292 E Orange Grove Ave. Burbank, CA 91502
(34.157195, -118.043614)",NA
Santa Monica Farmers Market - Sun,"2640 Main St. Santa Monica, CA 90405
(32.692825, -117.13738)",NA
Whittier Uptown Association Farmers Market,"13018 Philadelphia St. Whittier, CA 90601
(33.979097, -118.036478)",NA
Old Town Newhall Farmers Market,"22520 Lyons Ave. Newhall, CA 91321
(34.381616, -118.529511)",NA
Bell Farmers' Market,"6250 Pine Ave. Bell, CA 90201
(43.441665, -85.682902)",NA
City Farm  South Bay,"20700 Avalon Blvd. Carson, CA 90746
(33.843809, -118.263268)",NA
Cerritos Farmers Market,"17870 Park Plaza Dr. Cerritos, CA 90703
(33.869514, -118.062813)",NA
